"File","Sheet","Row","Source","Type","Field","Value","Message"
"orderIntake","Sheet1","","","WARNING","sellerName","GENERAL","Seller ""GENERAL"" could not be resolved to an active User or Employee; original sale person was preserved. (1344 rows; sample row 4: ""GENERAL"")"
"orderIntake","Sheet1","101","260100104","FINANCIAL_MISMATCH","onBooking","8389080","Booking payments 8389080 exceed the MSRP total 6889080; source values are preserved for review."
"orderIntake","Sheet1","625","260100645","FINANCIAL_MISMATCH","onBooking","7909081","Booking payments 7909081 exceed the MSRP total 7909080; source values are preserved for review."
"orderIntake","Sheet1","674","260100695","FINANCIAL_MISMATCH","onBooking","7964080","Booking payments 7964080 exceed the MSRP total 7909080; source values are preserved for review."
"orderIntake","Sheet1","952","260200135","FINANCIAL_MISMATCH","onBooking","7909080","Booking payments 7909080 exceed the MSRP total 6889080; source values are preserved for review."
"orderIntake","Sheet1","1020","260200204","FINANCIAL_MISMATCH","onBooking","11192780","Booking payments 11192780 exceed the MSRP total 10765080; source values are preserved for review."
"orderIntake","Sheet1","1155","260300127","FINANCIAL_MISMATCH","onBooking","7955080","Booking payments 7955080 exceed the MSRP total 7909080; source values are preserved for review."
"orderIntake","Sheet1","1240","260500011","FINANCIAL_MISMATCH","onBooking","10765160","Booking payments 10765160 exceed the MSRP total 10765080; source values are preserved for review."
"orderIntake","Sheet1","1350","260700035","WARNING","sellerName","PALVISHA","Seller ""PALVISHA"" could not be resolved to an active User or Employee; original sale person was preserved."
"orderIntake","Sheet1","1353","260700033","WARNING","sellerName","YASIR","Seller ""YASIR"" could not be resolved to an active User or Employee; original sale person was preserved."
"orderIntake","Sheet1","","","WARNING","sellerName","MIRAJ","Seller ""MIRAJ"" could not be resolved to an active User or Employee; original sale person was preserved. (2 rows; sample row 1356: ""MIRAJ"")"
"orderIntake","Sheet1","1360","260700034","WARNING","sellerName","HASEEB","Seller ""HASEEB"" could not be resolved to an active User or Employee; original sale person was preserved."
"orderSales","Sheet1","","","UNMAPPED_COLUMN","SAP Sales Order No.","0100004824","Source column ""SAP Sales Order No."" has data but no safe target mapping. (1287 rows; sample row 3: ""0100004824"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","SAP Customer No.","4010003767","Source column ""SAP Customer No."" has data but no safe target mapping. (1287 rows; sample row 3: ""4010003767"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Tax U/S 153(1)(a) WHT","0","Source column ""Tax U/S 153(1)(a) WHT"" has data but no safe target mapping. (1349 rows; sample row 3: ""0"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","1/5 of GST","0","Source column ""1/5 of GST"" has data but no safe target mapping. (1349 rows; sample row 3: ""0"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Balance Due Date","15-Feb-2026","Source column ""Balance Due Date"" has data but no safe target mapping. (1349 rows; sample row 3: ""15-Feb-2026"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","OEM Remarks","14/Missing-Acknowledgements","Source column ""OEM Remarks"" has data but no safe target mapping. (1154 rows; sample row 3: ""14/Missing-Acknowledgements"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Document Approval Status","Pending","Source column ""Document Approval Status"" has data but no safe target mapping. (1349 rows; sample row 3: ""Pending"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Document Upload Status","UN COMPLETE DOCUMENT","Source column ""Document Upload Status"" has data but no safe target mapping. (1344 rows; sample row 3: ""UN COMPLETE DOCUMENT"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Signed & Stamped PBO","3","Source column ""Signed & Stamped PBO"" has data but no safe target mapping. (1349 rows; sample row 3: ""3"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Partial Amount Pay Order","2","Source column ""Partial Amount Pay Order"" has data but no safe target mapping. (1349 rows; sample row 3: ""2"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Partial Amount Deposit Slip","1","Source column ""Partial Amount Deposit Slip"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Purchase Order","0","Source column ""Purchase Order"" has data but no safe target mapping. (1349 rows; sample row 3: ""0"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","STRN","0","Source column ""STRN"" has data but no safe target mapping. (1349 rows; sample row 3: ""0"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Sales Tax Undertaking","1","Source column ""Sales Tax Undertaking"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Price Ack. Undertaking","1","Source column ""Price Ack. Undertaking"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Balance Amount Pay Order","1","Source column ""Balance Amount Pay Order"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Balance Amount Deposit Slip","1","Source column ""Balance Amount Deposit Slip"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Others","1","Source column ""Others"" has data but no safe target mapping. (1349 rows; sample row 3: ""1"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Document Remarks",",,,wrong attachment,,not readable,,not readable,,,,,,","Source column ""Document Remarks"" has data but no safe target mapping. (233 rows; sample row 3: "",,,wrong attachment,,not readable,,not readable,,,,,,"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","PGI Date","15-Apr-2026","Source column ""PGI Date"" has data but no safe target mapping. (778 rows; sample row 3: ""15-Apr-2026"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Arrival No.","260500096","Source column ""Arrival No."" has data but no safe target mapping. (778 rows; sample row 3: ""260500096"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Arrival Date","13-May-2026","Source column ""Arrival Date"" has data but no safe target mapping. (778 rows; sample row 3: ""13-May-2026"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","PDI Request No.","260500085","Source column ""PDI Request No."" has data but no safe target mapping. (718 rows; sample row 3: ""260500085"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","PDI Request Date","13-May-2026","Source column ""PDI Request Date"" has data but no safe target mapping. (718 rows; sample row 3: ""13-May-2026"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","D.O. No.","260500086","Source column ""D.O. No."" has data but no safe target mapping. (717 rows; sample row 3: ""260500086"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","D.O. Date","13-May-2026","Source column ""D.O. Date"" has data but no safe target mapping. (717 rows; sample row 3: ""13-May-2026"")"
"orderSales","Sheet1","","","WARNING","sellerName","GENERAL","Seller ""GENERAL"" could not be resolved to an active User or Employee; original sale person was preserved. (1344 rows; sample row 3: ""GENERAL"")"
"orderSales","Sheet1","","","UNMAPPED_COLUMN","Administrative Charges","0","Source column ""Administrative Charges"" has data but no safe target mapping. (1343 rows; sample row 4: ""0"")"
"orderSales","Sheet1","94","260100096","FINANCIAL_MISMATCH","payments.2.amountReceived","6409080","Installment 2 repeats an earlier installment (same amount, date and instrument); the duplicate was dropped so the paid amount is not counted twice."
"orderSales","Sheet1","94","260100096","FINANCIAL_MISMATCH","payments.4.amountReceived","1500000","Installment 4 repeats an earlier installment (same amount, date and instrument); the duplicate was dropped so the paid amount is not counted twice."
"orderSales","Sheet1","94","260100096","FINANCIAL_MISMATCH","payments","7909080","Installment sum 7909080 differs from Total Amount Received 15818160; source totals are preserved without inventing a balancing installment."
"orderSales","Sheet1","94","260100096","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -7909080 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","101","260100104","FINANCIAL_MISMATCH","paidAmount","8389080","Paid amount 8389080 exceeds order total 6889080 by 1500000; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","101","260100104","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -1500000 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","587","260100607","FINANCIAL_MISMATCH","payments.3.amountReceived","0","Installment 3 amount is not greater than zero; the installment was skipped."
"orderSales","Sheet1","624","260100645","FINANCIAL_MISMATCH","paidAmount","7909081","Paid amount 7909081 exceeds order total 7909080 by 1; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","624","260100645","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -1 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","673","260100695","FINANCIAL_MISMATCH","paidAmount","7964080","Paid amount 7964080 exceeds order total 7909080 by 55000; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","673","260100695","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -55000 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","951","260200135","FINANCIAL_MISMATCH","paidAmount","7909080","Paid amount 7909080 exceeds order total 6889080 by 1020000; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","951","260200135","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -1020000 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","1019","260200204","FINANCIAL_MISMATCH","paidAmount","11192780","Paid amount 11192780 exceeds order total 10765080 by 427700; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","1019","260200204","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -427700 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","1154","260300127","FINANCIAL_MISMATCH","paidAmount","7955080","Paid amount 7955080 exceeds order total 7909080 by 46000; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","1154","260300127","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -46000 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","","","UNMAPPED_COLUMN","FPM","1 Year","Source column ""FPM"" has data but no safe target mapping. (10 rows; sample row 1157: ""1 Year"")"
"orderSales","Sheet1","1239","260500011","FINANCIAL_MISMATCH","paidAmount","10765160","Paid amount 10765160 exceeds order total 10765080 by 80; source figures were kept and the balance floored at zero."
"orderSales","Sheet1","1239","260500011","FINANCIAL_MISMATCH","balanceAmount","0","Source balance -80 differs from ledger-derived total minus paid (0); the source value is retained only as audit input."
"orderSales","Sheet1","","","FINANCIAL_MISMATCH","payments.2.amountReceived","0","Installment 2 amount is not greater than zero; the installment was skipped. (5 rows; sample row 1295: ""0"")"
"orderSales","Sheet1","","","WARNING","sellerName","MIRAJ","Seller ""MIRAJ"" could not be resolved to an active User or Employee; original sale person was preserved. (2 rows; sample row 1344: ""MIRAJ"")"
"orderSales","Sheet1","1347","260700033","WARNING","sellerName","YASIR","Seller ""YASIR"" could not be resolved to an active User or Employee; original sale person was preserved."
"orderSales","Sheet1","1348","260700034","WARNING","sellerName","HASEEB","Seller ""HASEEB"" could not be resolved to an active User or Employee; original sale person was preserved."
"orderSales","Sheet1","1349","260700035","WARNING","sellerName","PALVISHA","Seller ""PALVISHA"" could not be resolved to an active User or Employee; original sale person was preserved."
"dispatch","Sheet1","","","UNMAPPED_COLUMN","S #","1","Source column ""S #"" has data but no safe target mapping. (1245 rows; sample row 3: ""1"")"
"dispatch","Sheet1","","","UNMAPPED_COLUMN","Batch No.","J7000110","Source column ""Batch No."" has data but no safe target mapping. (1244 rows; sample row 3: ""J7000110"")"
"dispatch","Sheet1","3","260100002","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000610","Dispatch 260100002 has no matching Sales Order (searched by PBO NCLH30000610, order 251100280, invoice 900000160, chassis MCCJY7PRMSN100010, engine SQRH4J15AGSH60194); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","4","260100004","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000080","Dispatch 260100004 has no matching Sales Order (searched by PBO NCLH30000080, order 251000009, invoice 900000142, chassis MCCJY7PRMSN100031, engine SQRH4J15AGSH60182); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","5","260100005","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000279","Dispatch 260100005 has no matching Sales Order (searched by PBO NCLH30000279, order 251000148, invoice 900000156, chassis MCCJY7PRMSN100038, engine SQRH4J15AGSJ60053); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","6","260100009","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000147","Dispatch 260100009 has no matching Sales Order (searched by PBO NCLH30000147, order 251000051, invoice 900000154, chassis MCCJY7PRMSN100060, engine SQRH4J15AGSH60214); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
